Name;Seconds;AlbumId
For Those About To Rock (We Salute You);344;1
Balls to the Wall;343;2
Fast As a Shark;231;3
Restless and Wild;252;3
Princess of the Dawn;375;3
Put The Finger On You;206;1
Let's Get It Up;234;1
Inject The Venom;211;1
Snowballed;203;1
Evil Walks;263;1
C.O.D.;200;1
Breaking The Rules;263;1
Night Of The Long Knives;206;1
Spellbound;271;1
Go Down;331;4
Dog Eat Dog;215;4
Let There Be Rock;367;4
Bad Boy Boogie;268;4
Problem Child;325;4
Overdose;369;4
Hell Ain't A Bad Place To Be;254;4
Whole Lotta Rosie;324;4
Walk On Water;296;5
Love In An Elevator;322;5
Rag Doll;265;5
What It Takes;311;5
Dude (Looks Like A Lady);265;5
Janie's Got A Gun;331;5
Cryin';309;5
Amazing;357;5
Blind Man;241;5
Deuces Are Wild;216;5
The Other Side;244;5
Crazy;317;5
Eat The Rich;251;5
Angel;308;5
Livin' On The Edge;381;5
All I Really Want;285;6
You Oughta Know;249;6
Perfect;188;6
Hand In My Pocket;222;6
Right Through You;176;6
Forgiven;300;6
You Learn;240;6
Head Over Feet;267;6
Mary Jane;281;6
Ironic;230;6
Not The Doctor;228;6
Wake Up;293;6
You Oughta Know (Alternate);492;6
We Die Young;152;7
Man In The Box;287;7
Sea Of Sorrow;350;7
Bleed The Freak;242;7
I Can't Remember;223;7
Love, Hate, Love;387;7
It Ain't Like That;278;7
Sunshine;285;7
Put You Down;196;7
Confusion;344;7
I Know Somethin (Bout You);262;7
Real Thing;244;7
Desafinado;185;8
Garota De Ipanema;285;8
Samba De Uma Nota Só (One Note Samba);137;8
Por Causa De Você;170;8
Ligia;252;8
Fotografia;129;8
Dindi (Dindi);253;8
Se Todos Fossem Iguais A Você (Instrumental);135;8
Falando De Amor;220;8
Angela;170;8
Corcovado (Quiet Nights Of Quiet Stars);206;8
Outra Vez;127;8
O Boto (Bôto);367;8
Canta, Canta Mais;272;8
Enter Sandman;222;9
Master Of Puppets;436;9
Harvester Of Sorrow;375;9
The Unforgiven;323;9
Sad But True;288;9
Creeping Death;308;9
Wherever I May Roam;369;9
Welcome Home (Sanitarium);350;9
Cochise;222;10
Show Me How to Live;278;10
Gasoline;279;10
What You Are;249;10
Like a Stone;294;10
Set It Off;263;10
Shadow on the Sun;343;10
I am the Highway;335;10
Exploder;206;10
Hypnotize;207;10
Bring'em Back Alive;330;10
Light My Way;304;10
Getaway Car;300;10
The Last Remaining Light;317;10
Your Time Has Come;256;11
Out Of Exile;291;11
Be Yourself;279;11
Doesn't Remind Me;256;11
Drown Me Slowly;234;11
Heaven's Dead;277;11
The Worm;238;11
Man Or Animal;233;11
Yesterday To Tomorrow;274;11
Dandelion;278;11
#1 Zero;299;11
The Curse;310;11
Money;148;12
Long Tall Sally;106;12
Bad Boy;116;12
Twist And Shout;161;12
Please Mr. Postman;138;12
C'Mon Everybody;140;12
Rock 'N' Roll Music;142;12
Slow Down;163;12
Roadrunner;144;12
Carol;144;12
Good Golly Miss Molly;106;12
20 Flight Rock;108;12
Quadrant;262;13
Snoopy's search-Red baron;456;13
"Spanish moss-""A sound portrait""-Spanish moss";248;13
Moon germs;294;13
Stratus;582;13
The pleasant pheasant;318;13
Solo-Panhandler;246;13
Do what cha wanna;274;13
Intro/ Low Down;324;14
13 Years Of Grief;247;14
Stronger Than Death;301;14
All For You;236;14
Super Terrorizer;319;14
Phoney Smile Fake Hellos;274;14
Lost My Better Half;284;14
Bored To Tears;247;14
A.N.D.R.O.T.A.Z.;266;14
Born To Booze;282;14
World Of Trouble;359;14
No More Tears;555;14
The Begining... At Last;366;14
Heart Of Gold;195;15
Snowblind;420;15
Like A Bird;277;15
Blood In The Wall;284;15
The Beginning...At Last;272;15
Black Sabbath;382;16
The Wizard;265;16
Behind The Wall Of Sleep;218;16
N.I.B.;369;16
Evil Woman;205;16
Sleeping Village;645;16
Warning;212;16
Wheels Of Confusion / The Straightener;495;17
Tomorrow's Dream;192;17
Changes;286;17
FX;103;17
Supernaut;286;17
Snowblind;332;17
Cornucopia;235;17
Laguna Sunrise;173;17
St. Vitus Dance;150;17
Under The Sun/Every Day Comes and Goes;350;17
Smoked Pork;47;18
Body Count's In The House;204;18
Now Sports;5;18
Body Count;318;18
A Statistic;6;18
Bowels Of The Devil;223;18
The Real Problem;12;18
KKK Bitch;173;18
D Note;96;18
Voodoo;301;18
The Winner Loses;392;18
There Goes The Neighborhood;350;18
Oprah;7;18
Evil Dick;239;18
Body Count Anthem;166;18
Momma's Gotta Die Tonight;372;18
Freedom Of Speech;281;18
King In Crimson;283;19
Chemical Wedding;246;19
The Tower;285;19
Killing Floor;270;19
Book Of Thel;494;19
Gates Of Urizen;265;19
Jerusalem;402;19
Trupets Of Jericho;359;19
Machine Men;342;19
The Alchemist;509;19
Realword;238;19
First Time I Met The Blues;140;20
Let Me Love You Baby;175;20
Stone Crazy;433;20
Pretty Baby;238;20
When My Left Eye Jumps;235;20
Leave My Girl Alone;205;20
She Suits Me To A Tee;137;20
Keep It To Myself (Aka Keep It To Yourself);166;20
My Time After Awhile;182;20
Too Many Ways (Alternate);135;20
Talkin' 'Bout Women Obviously;590;20
Jorge Da Capadócia;177;21
Prenda Minha;99;21
Meditação;149;21
Terra;482;21
Eclipse Oculto;222;21
"Texto ""Verdade Tropical""";84;21
Bem Devagar;133;21
Drão;156;21
Saudosismo;144;21
Carolina;182;21
Sozinho;191;21
Esse Cara;223;21
Mel;295;21
Linha Do Equador;299;21
Odara;141;21
A Luz De Tieta;252;21
Atrás Da Verd-E-Rosa Só Não Vai Quem Já Morreu;307;21
